CID,CNAME,PERIOD,CREDIT,TEACHER
CS-01,创业团队建设与管理,48,2.5,马力
CS-02,高等数学（五）,64,4.0,朱健民
CS-03,材料性能与应用,48,2.5,王晨
CS-04,新科学家英语：演讲与写作,48,2.5,李雪
CS-05,材料成形技术基础,32,2.0,郑红梅
CS-06,线性代数与空间解析几何（一）,64,4.0,黄廷祝
CS-07,国际交流英语,4,0.5,周之南
CS-08,Physics,64,4.0,吴昊
CS-09,计算机系统局限性,16,1.0,何积丰
CS-10,大学物理—振动、波动与光学,16,1.0,李英兰
CS-11,大学物理（力学、电磁学）,48,2.5,陈肖慧
CS-12,大学物理（热学、振动波、光学、近代物理）,48,2.5,陈肖慧
CS-13,自我塑造：成功五要素,4,0.5,陈月华
CS-14,大学生科技创新课程之中美青年创客大赛,16,1.0,罗大兵
CS-15,微波技术,32,2.0,赵春晖
CS-16,无机及分析化学（下）,48,2.5,王运
CS-17,中外石油文化,48,2.5,张卫东
CS-18,无机化学——化学反应原理,32,2.0,张兴文
CS-19,新型陶瓷材料及商业应用,32,2.0,于岩
CS-20,社区管理学,32,2.0,孙萍
CS-21,地下结构数值计算方法,64,4.0,缪圆冰
CS-22,光信息处理,48,2.5,曹益平
CS-23,无机与分析化学,64,4.0,和玲
CS-24,无机非金属材料实验,32,2.0,冯小平
CS-25,技术经济学,32,2.0,刘晓君
CS-26,光电子学（二）,64,4.0,朱京平
CS-27,大学英语过程写作,64,4.0,林娟
CS-28,大学物理-电磁学,48,2.5,刘永录
CS-29,化工导论,48,2.5,唐韶坤
CS-30,产业经济学,16,1.0,王俊豪
CS-31,基础工程设计原理,32,2.0,李镜培
CS-32,大学物理-振动、波动和波动光学,16,1.0,刘永录
CS-33,物理与艺术,64,4.0,施大宁
CS-34,计算机科学导论,32,2.0,董荣胜
CS-35,全球化与中国文化,64,4.0,王俊棋
CS-36,医患沟通技能学,16,1.0,吴静
CS-37,C语言程序设计进阶,48,2.5,翁恺
CS-38,英汉互译方法与技巧,64,4.0,姚媛
CS-39,习近平新时代中国特色社会主义思想概论,64,4.0,李冉
CS-40,沟通心理学,48,2.5,裴秋宇
CS-41,高级语言程序设计（Python）,32,2.0,车万翔
CS-42,走近摄影,48,2.5,黎大志
CS-43,孙子兵法鉴赏,48,2.5,陈润华
CS-44,金融学（二）,48,2.5,李健
CS-45,C语言程序设计——快速入门与提高,64,4.0,吕春利
CS-46,国际金融学,16,1.0,杨胜刚
CS-47,学前教育原理,16,1.0,李少梅
CS-48,基于Java的面向对象编程范式,16,1.0,刘钦
CS-49,中国哲学经典著作导读,64,4.0,刘俊
CS-50,微积分（三）,4,0.5,高建
EE-01,大学美育,32,2.0,苏宏元
EE-02,生命科学基础,64,4.0,谭信
EE-03,现代工程制图（下）,48,2.5,高菲
EE-04,大学物理—量子物理基础及应用,48,2.5,李雪春
EE-05,精密机械设计,32,2.0,许贤泽
EE-06,航天、人文与艺术,48,2.5,闻新
EE-07,Python数据分析与展示,64,4.0,嵩天
EE-08,Python网络爬虫与信息提取,16,1.0,嵩天
EE-09,心理学：我知无不言，它妙不可言,32,2.0,田媛
EE-10,环境设施设计,16,1.0,张凌浩
EE-11,高速铁路桥梁与隧道工程,48,2.5,王英学
EE-12,中学生物学教学设计,64,4.0,崔鸿
EE-13,微积分（四）,32,2.0,高建
EE-14,微积分（二）,32,2.0,高建
EE-15,科举与唐诗,64,4.0,王士祥
EE-16,大学物理典型问题解析—振动、波动与光学,64,4.0,李英兰
EE-17,东南亚南亚商务,64,4.0,韩越
EE-18,交际英语,32,2.0,赵雪爱
EE-19,疲劳与断裂,16,1.0,杨新华
EE-20,基础化学实验(无机化学),64,4.0,郭栋才
EE-21,基础化学实验（分析化学）,4,0.5,郭栋才
EE-22,普通化学原理,64,4.0,吴旭
EE-23,线性代数与空间解析几何（二）,48,2.5,黄廷祝
EE-24,高速铁路动车组技术,32,2.0,李芾
EE-25,混凝土结构基本原理,16,1.0,顾祥林
EE-26,大学物理4：光学、近代物理,16,1.0,倪忠强
EE-27,文学经典导读,64,4.0,李新
EE-28,聪慧的源泉——数学导读,64,4.0,朱传喜
EE-29,国际交流实用英文写作,48,2.5,胡志雯
EE-30,创业基础,32,2.0,张耀辉
EE-31,物理光学,48,2.5,哈斯乌力吉
EE-32,信息化教学能力之五项修炼,32,2.0,焦建利
EE-33,预防医学（二）,32,2.0,戴俊明
EE-34,大学物理2：振动与波动、热学,48,2.5,刘海兰
EE-35,材料力学性能,16,1.0,张程煜
EE-36,粉体力学,32,2.0,刘志军
EE-37,教你如何做MOOC,48,2.5,冯菲
EE-38,生命科学导论,64,4.0,郑用琏
EE-39,全球卫生导论,48,2.5,陈文
EE-40,资源经济学,48,2.5,顾晓薇
EE-41,小学课程设计与评价,32,2.0,曾文婕
EE-42,微积分(二),48,2.5,徐厚宝
EE-43,C君带你玩编程,32,2.0,方娇莉
EE-44,教师职业道德,4,0.5,马丽
EE-45,工程索道,64,4.0,郑丽凤
EE-46,汽车发动机构造,64,4.0,高文志
EE-47,中国传世名画鉴赏,48,2.5,王鹏（王鹏澂）
EE-48,老子的人生智慧,64,4.0,张雷
EE-49,基础化学实验（有机化学）,64,4.0,郭栋才
EE-50,机械基础实景教学（机械设计）,32,2.0,张锋
ME-01,民俗文化鉴赏,16,1.0,阙祥才
ME-02,数学建模,32,2.0,肖华勇
ME-03,信息化领导力,16,1.0,沈书生
ME-04,汽车行走的艺术,16,1.0,王建华
ME-05,教学研究的数据处理与工具应用,16,1.0,马秀芳
ME-06,功能汉语速成,16,1.0,徐雨隽
ME-07,英语教学与互联网,48,2.5,焦建利
ME-08,西方经济学的奇妙世界,16,1.0,徐敏
ME-09,生物材料伴我行,64,4.0,谭志凯
ME-10,选矿厂设计,4,0.5,匡亚莉
ME-11,音乐课堂教学课例评析与研究,32,2.0,尹爱青
ME-12,创业学,48,2.5,贺尊
ME-13,基础化学实验(物理化学),16,1.0,郭栋才
ME-14,改变生活的生物技术,32,2.0,吕红
ME-15,系统解剖学（全英文）,64,4.0,张晓明
ME-16,结构概念分析与ANSYS程序实现,48,2.5,郭小农
ME-17,冷战史专题,32,2.0,沈志华
ME-18,普通昆虫学（二）,32,2.0,周兴苗
ME-19,人因工程学,64,4.0,郭伏
ME-20,高速铁路信号系统,64,4.0,郭进
ME-21,高速铁路运营与维护,32,2.0,王平
ME-22,人文视野中的生态学,32,2.0,包国章
ME-23,经济数学—概率论与数理统计,32,2.0,彭凯
ME-24,工程图学（一）,16,1.0,谷艳华
ME-25,云计算技术与应用,32,2.0,孙宁
ME-26,大学日语提高篇,32,2.0,曹红荃
ME-27,形势与政策,64,4.0,彭庆红
ME-28,园艺概论,48,2.5,徐强
ME-29,新闻伦理与法规,48,2.5,李理
ME-30,大学物理—近代物理,48,2.5,胡海云
ME-31,生命科学发展史,32,2.0,孟和
ME-32,系统工程,48,2.5,吴锋
ME-33,太极拳文化与功法习练,16,1.0,易鹏
ME-34,高速铁路规划与选线,64,4.0,易思蓉
ME-35,大学物理—相对论、电磁学,4,0.5,李雪春
ME-36,电器理论基础,64,4.0,许志红
ME-37,大学物理3：电磁学,64,4.0,吴天刚
ME-38,现代工程制图（上）,64,4.0,王丹虹
ME-39,C语言程序设计(下),32,2.0,李凤霞
ME-40,数字逻辑电路,4,0.5,王建新
ME-41,线性代数启蒙,32,2.0,李尚志
ME-42,口腔正畸学,64,4.0,刘东旭
ME-43,中国诗歌艺术,32,2.0,王红
ME-44,混凝土结构基本原理,48,2.5,王海军
ME-45,比较文学,32,2.0,胡亚敏
ME-46,化工过程分析与合成,32,2.0,都健
ME-47,初级汉语语法,64,4.0,王瑞烽
ME-48,大数据算法,32,2.0,王宏志
ME-49,物理化学（上）,48,2.5,白守礼
ME-50,国际经济法,16,1.0,胡加祥
MATH-01,插图设计,32,2.0,陈澜
MATH-02,概率论与数理统计,16,1.0,关静
MATH-03,行政管理学,48,2.5,杜宝贵
MATH-04,工程制图与计算机绘图,64,4.0,杜淑幸
MATH-05,概率论与数理统计,16,1.0,杨筱菡
MATH-06,海洋与人类文明的生产,16,1.0,苏文菁
MATH-07,中国传统艺术——篆刻、书法、水墨画体验与欣赏,32,2.0,胡修瑞
MATH-08,工程材料及机械制造基础——金属工艺学,16,1.0,李清
MATH-09,单片机原理及应用,4,0.5,张毅刚
MATH-10,计算机组织与结构,32,2.0,赖晓晨
MATH-11,大学英语学术阅读,16,1.0,王海啸
MATH-12,中外出版史,32,2.0,万安伦
MATH-13,水工钢筋混凝土结构学,16,1.0,冷飞
MATH-14,鞋靴造型设计,64,4.0,万蓬勃
MATH-15,自然保护与生态安全：拯救地球家园,32,2.0,黄柏炎
MATH-16,基因组学,16,1.0,杨金水
MATH-17,书法课堂,64,4.0,朱利
MATH-18,微积分（三）,32,2.0,尹逊波
MATH-19,光电子学（一）,16,1.0,朱京平
MATH-20,轻松学统计,48,2.5,罗良清
MATH-21,道路工程材料,48,2.5,申爱琴
MATH-22,人体骨与关节解剖学,48,2.5,尹维刚
MATH-23,工程图学（二）,48,2.5,谷艳华
MATH-24,计算思维的结构,16,1.0,董荣胜
MATH-25,国家预算管理,32,2.0,王金秀
MATH-26,土木工程概论,16,1.0,叶志明
MATH-27,高级语言程序设计,32,2.0,张长海
MATH-28,匠心与创新——家具行业创新创业,32,2.0,林金国
MATH-29,中医药创新创业,64,4.0,王世宇
MATH-30,设计之美,32,2.0,王妍
MATH-31,大学物理-电磁学和光学,48,2.5,李玉香
MATH-32,宇宙探索与发现,16,1.0,刘金寿
MATH-33,航空发动机燃烧学,48,2.5,范玮
MATH-34,耕作学——农业生态转型的理论与实践,64,4.0,陈冬梅
MATH-35,大学物理-量子物理,48,2.5,刘永录
MATH-36,分析化学,64,4.0,吴硕
MATH-37,集装箱运输与多式联运,48,2.5,朱晓宁
MATH-38,改进合作学习,32,2.0,汪琼
MATH-39,电路基础,64,4.0,段哲民
MATH-40,经济数学—微积分（二）,48,2.5,韩华
MATH-41,大学物理典型问题解析—电磁学,48,2.5,胡海云
MATH-42,组织与人力资源管理,64,4.0,张广科
MATH-43,大学生创新与创业实践,32,2.0,张祖涛
MATH-44,民族声乐进阶密码——石春轩子教学示范课堂,48,2.5,石春轩子
MATH-45,测量学,64,4.0,何彬彬
MATH-46,侵权责任法,32,2.0,王竹
MATH-47,大学物理—光学,64,4.0,李雪春
MATH-48,运筹学,64,4.0,刘华丽
MATH-49,广播节目播音与主持,48,2.5,荣斌
MATH-50,高速铁路工程,48,2.5,易思蓉
PHYS-01,信号与系统,64,4.0,李辉
PHYS-02,中国哲学,64,4.0,章伟文
PHYS-03,数字营销：走进智慧的品牌,32,2.0,谷虹
PHYS-04,大学物理-相对论和量子物理,16,1.0,刘建强
PHYS-05,大学生科技创新课程之交通科技大赛,32,2.0,张祖涛
PHYS-06,创业法学,32,2.0,邓辉
PHYS-07,英语有效表达：语言、修辞与逻辑,32,2.0,廖敏
PHYS-08,中国现当代通俗小说与网络小说,48,2.5,汤哲声
PHYS-09,波谱分析,32,2.0,白银娟
PHYS-10,灭火战术,32,2.0,李驰原
PHYS-11,嵌入式系统与实验,32,2.0,李晓潮
PHYS-12,激光加工创新训练,16,1.0,刘彬彬
PHYS-13,金属工艺学,16,1.0,陈云
PHYS-14,财政学,32,2.0,周克清
PHYS-15,电子技术应用实验1（数字电路基础实验）,64,4.0,陈瑜
PHYS-16,诺贝尔生理学或医学奖史话,16,1.0,张铭
PHYS-17,分析化学（三）：波谱分析,48,2.5,宦双燕
PHYS-18,城市总体规划,16,1.0,彭震伟
PHYS-19,当代青年心理学（三）青年自我意识篇,32,2.0,宁维卫
PHYS-20,形势与政策,32,2.0,王刚
PHYS-21,外国民商案例选读,4,0.5,隋军
PHYS-22,Python科学计算三维可视化,48,2.5,黄天羽
