SID,CID,GRADE
04000560,MATH-02,85.0
04003591,EE-04,46.0
04007351,BIO-02,93.1
04008731,SE-05,62.0
04006830,HIST-05,94.8
04007401,LAW-02,83.7
04005011,PHIL-04,97.7
04001481,ENV-01,89.5
04004820,CS-01,84.9
04002910,STAT-05,36.9
04001980,ECON-05,78.0
04005951,CE-04,83.6
04007341,MATH-01,78.8
04003991,HIST-02,58.9
04007410,STAT-03,75.0
04001431,CHEM-05,46.7
04009580,PHYS-03,61.2
04004720,ME-03,96.7
04005151,PSY-03,38.0
04006231,CE-01,49.6
04001050,EE-03,69.8
04001550,PHIL-01,85.4
04001311,PSY-05,76.5
04006310,HIST-02,86.9
04005970,PHYS-03,88.9
04007551,SOC-01,62.1
04005821,MUS-04,43.8
04003321,ENV-03,70.1
04004731,MUS-03,91.5
04008711,PHIL-02,46.9
04009911,HIST-05,76.6
04000851,SOC-05,88.5
04009651,PHIL-01,82.8
04001071,ENV-02,75.5
04008620,CS-02,87.7
04006411,SE-04,70.3
04009200,STAT-02,66.4
04002481,HIST-05,67.9
04001550,CHEM-05,87.2
04001460,PHIL-01,38.9
04002930,HIST-01,70.7
04001521,PHIL-05,64.3
04009890,LAW-02,71.8
04004210,MATH-04,75.4
04008641,ENV-02,68.6
04004720,CE-05,72.4
04006150,LAW-04,70.8
04000781,BIO-01,87.3
04003980,CS-04,73.0
04008501,ENV-03,89.0
04009651,CHEM-05,81.3
04004691,EE-01,88.9
04000171,CS-01,37.9
04009671,ENV-02,77.4
04003570,PSY-01,71.4
04001250,SE-04,64.2
04004360,MATH-03,90.1
04006970,HIST-02,94.4
04003970,SOC-01,87.1
04000560,CS-05,91.0
04000300,SOC-04,76.3
04007840,HIST-04,58.5
04004631,ART-03,60.1
04003300,PSY-05,86.6
04003970,SOC-04,46.8
04001500,SE-02,74.3
04007840,ENV-05,74.3
04009120,PHIL-01,62.6
04004310,BIO-01,70.7
04000151,PHYS-05,88.4
04007740,ENV-01,75.1
04000951,EE-02,67.6
04008330,BIO-01,67.9
04003240,ART-01,66.6
04000221,SE-03,52.3
04007071,CHEM-05,80.8
04002321,MUS-01,73.4
04002500,ART-01,71.6
04002060,CE-02,81.5
04002771,MUS-05,46.3
04003730,SE-02,86.9
04000551,MATH-01,64.5
04007120,EE-05,47.2
04001711,BIO-03,80.8
04003591,BIO-01,67.5
04001721,ENV-02,82.2
04002701,STAT-01,74.7
04008681,PSY-01,58.6
04005781,SE-04,72.3
04003321,CS-05,43.9
04007901,SOC-03,53.9
04009651,SE-01,87.5
04004431,PHIL-04,87.3
04002031,MUS-05,67.3
04009490,ENV-04,85.8
04008210,STAT-04,93.9
04003691,PSY-03,31.3
04008110,PHIL-05,71.4
04004530,CE-02,60.8
04002891,BME-04,67.8
04007950,MATH-04,55.0
04004070,ART-04,82.1
04008920,PHIL-05,71.4
04005941,BME-04,90.6
04006721,ECON-05,44.5
04002740,EE-02,81.0
04008881,ART-02,64.6
04003390,CS-03,70.2
04009120,SE-01,74.7
04005771,PHYS-03,85.2
04006120,BME-05,86.8
04004321,SOC-02,87.5
04002620,SE-05,68.6
04000560,CHEM-01,94.9
04001081,ME-03,71.4
04000570,CHEM-05,67.0
04001081,BIO-01,58.5
04007641,SE-04,89.6
04005760,ART-05,79.2
04007671,ART-04,87.1
04000651,BME-03,54.1
04002321,ME-01,90.7
04002431,BIO-02,80.6
04006560,PHIL-01,86.3
04009250,MATH-01,40.0
04007410,ART-05,72.9
04008550,ECON-05,86.6
04008050,BME-03,87.8
04000261,SOC-01,55.2
04004751,BIO-05,91.1
04000981,MUS-03,83.1
04004550,ECON-03,75.4
04003641,EE-01,79.1
04007091,LAW-03,90.9
04001601,BIO-05,62.1
04000840,ENV-01,57.3
04004991,BME-03,88.5
04003051,SE-05,78.0
04008291,BME-03,91.8
04004610,BIO-03,97.5
04003161,PSY-02,60.9
04003951,SOC-05,81.2
04009151,ENV-02,50.5
04008510,ME-05,93.2
04003001,SOC-04,89.6
04005750,HIST-04,92.4
04007671,SOC-05,73.0
04008191,MATH-02,57.4
04002080,CS-02,62.2
04000570,SE-01,96.8
04001230,ART-05,68.5
04003641,EE-05,90.8
04001590,EE-01,48.6
04000281,ECON-03,92.6
04008881,CHEM-05,89.6
04007941,LAW-02,90.3
04000981,LAW-02,76.7
04004031,PSY-01,70.8
04002080,CHEM-01,90.4
04000740,CS-05,74.9
04000610,ECON-04,75.2
04004530,PHIL-01,90.9
04009540,ME-01,46.8
04005670,SE-03,50.2
04002511,BME-01,70.9
04004161,EE-03,79.6
04007561,STAT-04,75.6
04000951,PSY-01,64.0
04002611,HIST-02,56.7
04009830,MATH-03,62.5
04003591,CS-03,60.6
04001761,BIO-04,84.7
04002891,SOC-03,72.4
04008150,MUS-04,68.6
04009571,EE-03,90.9
04002330,HIST-02,71.8
04003331,EE-02,57.9
04006140,PHYS-01,72.4
04000781,MATH-05,75.1
04006981,BIO-01,67.7
04002090,SE-01,96.3
04004021,ART-03,89.8
04004200,ECON-05,79.5
04000201,CHEM-04,30.0
04005071,PHYS-03,89.6
04001400,EE-03,66.3
04001031,SE-05,79.3
04002350,MUS-05,85.1
04009051,BIO-04,65.7
04007171,BME-03,71.7
04008180,SOC-05,68.7
04004001,ART-04,70.8
04008170,ART-02,85.1
04003860,EE-04,94.9
04006961,CHEM-03,66.3
04001191,ART-03,74.2
04008330,MATH-05,96.6
04007310,CE-01,64.3
04008210,BME-03,70.4
04003281,BIO-04,66.6
04007491,BME-03,93.9
04005810,HIST-01,59.7
04002401,ME-03,79.9
04002271,PHIL-04,71.9
04000081,MUS-01,44.9
04007200,PHIL-03,90.3
04009790,SE-02,71.8
04003411,CS-04,67.7
04009771,EE-03,65.0
04000221,LAW-03,83.4
04006531,CE-02,82.0
04003980,CE-03,88.1
04008940,PSY-01,77.7
04002650,EE-03,87.5
04007361,PSY-02,97.1
04001580,CE-05,71.9
04001750,CS-04,85.9
04002920,BME-01,75.2
04006290,CS-05,39.6
04004070,PSY-05,70.7
04001210,PHYS-02,81.2
04008991,PHYS-04,55.4
04001711,ENV-01,86.0
04008081,PHYS-01,50.6
04005591,CS-01,86.4
04004970,ART-01,62.5
04000151,BIO-05,60.7
04003580,PSY-02,53.8
04003951,PSY-05,90.2
04007370,PHIL-05,85.1
04003930,HIST-04,75.6
04000101,ART-02,78.4
04006730,ART-03,51.9
04003930,ENV-05,80.0
04002731,LAW-05,51.0
04006741,LAW-05,79.3
04000641,PHIL-01,73.3
04009540,ECON-01,53.8
04003770,ART-03,85.1
04007710,STAT-03,91.0
04001261,ECON-03,57.3
04001360,ART-03,73.2
04008471,ART-01,86.3
04008291,LAW-04,57.4
04000641,CHEM-05,95.4
04005951,ART-04,81.6
04009721,BIO-02,57.2
04009920,ME-03,68.8
04003860,ME-03,54.0
04003061,HIST-05,44.0
04000001,ME-05,62.5
04008040,PHIL-05,60.6
04007601,BIO-02,65.7
04005921,LAW-05,68.0
04001400,CE-04,85.1
04006861,EE-05,63.4
04001561,PHIL-03,66.7
04000101,PHIL-01,72.9
04008711,ART-03,89.5
04004651,STAT-05,52.4
04003091,EE-05,89.1
04003860,CE-05,60.1
04009440,PSY-04,43.9
04000651,PSY-03,90.4
04003331,PSY-01,92.3
04001761,SOC-03,88.6
04003101,CS-05,84.7
04000101,CHEM-05,78.4
04000730,BME-05,82.2
04002660,CE-02,41.9
04004260,HIST-01,84.6
04002371,PHIL-01,72.2
04007631,ECON-01,81.5
04005310,MUS-03,83.1
04003941,LAW-03,59.9
04006260,CE-03,68.9
04000591,SOC-04,89.2
04006990,BME-04,80.6
04006361,BIO-01,53.2
04005370,ART-03,73.6
04008090,LAW-04,81.7
04002240,CHEM-02,53.9
04002201,ME-04,91.6
